Season,Episode,Title,Summary
1,1,,"In 1919 following the Great War, the Peaky Blinders, led by Thomas ""Tommy"" Shelby, a decorated former sergeant major, appropriate a consignment of guns from the local arms factory. Winston Churchill sends Chief Inspector Chester Campbell of the Royal Irish Constabulary to Birmingham to retrieve the guns. Tommy's aunt Polly Gray urges Tommy to return the guns, but he feels that he can use them to his advantage. His brother Arthur Shelby does not agree with Tommy about fixing horse races, believing it will cause trouble with Billy Kimber, who runs the races. Inspector Campbell and his men capture Arthur and beat him while inquiring about the gun robbery. Inspector Campbell propositions Arthur and the gang to work with him to find the guns. Tommy's sister Ada Shelby is involved with Freddie Thorne, a communist. A barmaid named Grace Burgess starts working at the Garrison, a bar owned by the Peaky Blinders. She has been placed in Birmingham by Inspector Campbell to help find the guns. Tommy's friend Danny has a PTSD episode and kills an Italian business owner. To avoid a war with the Italians, Tommy agrees to kill Danny, with the Italians witnessing. However, Danny's death is faked and he goes to London on a special assignment."
1,2,,"Tommy, Arthur and their brother John Shelby meet with a rival Romanichal gang, the Lees, to look at a horse for the next race. The Lees insult the Peaky Blinders and a fight breaks out. Inspector Campbell's special force launches a surprise crackdown, targeting communists and looking for the guns. Freddie and Ada escape, but Freddie has to leave town. Inspector Campbell confronts Polly and attacks all the Peaky Blinder establishments. In retaliation, Tommy arranges for a reporter to write about a burning of the King's picture, which prompts Churchill to pressure Inspector Campbell. Tommy meets with Inspector Campbell and gives him an ultimatum: if the Peaky Blinders are left alone, he will return the guns; if Inspector Campbell interferes with his plans, Tommy will send the guns to the IRA and ruin Inspector Campbell's work in Belfast. Inspector Campbell agrees but instructs Grace to get close to Tommy and find the location of the guns. Polly realises Ada is pregnant and tells Tommy, who threatens to kill Freddie but then instructs him to take Ada away. Freddie instead proposes to Ada and decides to stay in town. Billy Kimber and his men confront the Peaky Blinders, but Tommy convinces them to join forces in fighting the Lees."
1,3,,"Ada and Freddie marry; Polly gives them money to leave the country. Despite Tommy's best efforts to keep the guns a secret, people keep finding out about them, including two IRA members. Grace overhears them trying to blackmail Tommy and follows one of them, but he attacks her. Grace manages to shoot her attacker dead in self-defence. Tommy warns Billy Kimber that the Lees will once again rob Billy Kimber's bookies at the races. Tommy brings Grace as his date to Cheltenham races in an attempt to distract Billy Kimber as well as convince him that he should hire the Peaky Blinders as his security. Billy Kimber agrees if he can have some time alone with Grace, to which Tommy agrees. At the last minute, he has a change of heart and claims that Grace is actually a prostitute with syphilis. Freddie decides Tommy is not going to scare him off and returns."
1,4,,"Tommy makes his business legitimate by obtaining a betting licence. Although he does not quite trust her and is suspicious of her, Tommy hires Grace as his secretary. John calls the gang together to tell them he wants to marry Lizzie Stark, a local prostitute. Tommy disapproves because he does not think Lizzie has given up her former profession. His suspicions are confirmed when he requests her services as a test and she agrees. The Lees rob the Peaky Blinders' gambling den as revenge for the Peaky Blinders having protected Billy Kimber's bookies at the races. Tommy decides to call a truce with the Lees so that he can have an ally against Billy Kimber and marries John to the Lees' daughter Esme to secure the agreement. Ada comes to the wedding but goes into labour soon after. Freddie comes to see the new baby but is arrested when he shows up."
1,5,,"Believing Tommy betrayed Freddie, Ada does not want to see or speak to the Shelby family. Arthur Shelby Sr. (Tommy Flanagan), who deserted the Shelby family a decade ago, comes back into town. Tommy wants nothing to do with him, but Arthur believes he has changed. He gives Arthur Sr. a large sum of money to build hotels in the United States, only for Arthur Sr. to abscond with it. An IRA member starts inquiring about the man Grace killed. Tommy and Grace kill the other IRA members. Now in love with Tommy, Grace tells Inspector Campbell that if she tells him where the guns are, he must leave Tommy and the Shelby family alone. She suspects the guns are buried in a false grave after discovering that Danny is not really dead. Grace gives up the location to Inspector Campbell and resigns service to the Crown. Inspector Campbell proposes marriage, which Grace rejects. Tommy and Grace consummate their connection, secretly witnessed by Inspector Campbell. Arthur attempts suicide by hanging himself, but survives when the rope snaps off its hook."
1,6,,"Inspector Campbell confirms to Churchill that Grace should be commended for her part in finding the missing guns. Polly meets with Grace to reveal she knows Grace's secret and that she will never forgive her. The Peaky Blinders, led by Danny, spring Freddie from prison. Tommy gathers the Peaky Blinders and the Lees to take on Billy Kimber's men at the tracks, but Billy Kimber catches the Peaky Blinders off guard and outnumbered by confronting them at home. Freddie helps the Peaky Blinders by bringing out a machine gun from the stolen weapons, but Ada jumps into the middle of the standoff trying to bring peace. Billy Kimber opens fire on the Peaky Blinders, killing Danny and injuring Tommy. Tommy, in turn, shoots Billy Kimber dead. Tommy meets Grace and she tells him she loves him and will go to London for a few days; she has an idea of how they can be together. Tommy writes a letter and flips a coin to decide if he will go with Grace. As this happens, Inspector Campbell confronts Grace at the railway station and points his pistol at her. As the scene fades, there is a gunshot."
2,1,,"Grace shoots Inspector Campbell and leaves. Two years later, the Garrison is blown up while the Peaky Blinders are attending Freddie’s funeral. Tommy asks Ada to come home as he is planning an expansion into London. Tommy goes to the Black Lion to confront those responsible for the explosion. Instead, he is taken to meet with the IRA and asked to assassinate someone, which he does. Tommy is informed that Inspector Campbell, now a Major of the British Secret Intelligence Service, is returning to Birmingham. The Peaky Blinders have a meeting regarding the expansion of the bookie business, during which Polly and Esme have reservations. Nonetheless, Tommy, Arthur and John decide to get familiar with the London scene and end up causing a rumpus at Darby Sabini's club. Polly visits a medium for information on her children that were taken from her. Tommy hires Lizzie as his secretary. In retaliation for the club incident, Sabini has his thugs kidnap and attempt to rape Ada, as well as beat Tommy to within an inch of his life. Campbell intervenes before Sabini and his men can finish him off, having agreed with Churchill that Tommy will be useful to them."
2,2,,"Campbell visits Tommy in the hospital and reveals that he knows about the murder Tommy committed for the IRA, and has had Tommy under surveillance for some time. Tommy discharges himself early and takes a barge down to London. He meets with the vicious Jewish gang-leader Alfie Solomons in Camden Town. Tommy has a hard time convincing Alfie that he should align with the Peaky Blinders against Sabini. Tommy buys Polly and Ada houses as a means of laundering money. Esme has told Tommy about Polly trying to find her children. Tommy tells Polly her daughter is dead, but he has managed to track down her son Michael. Unfortunately, due to the law, Polly is unable to see Michael until he is 18 years of age. Arthur's flashbacks from the war are getting worse, and during one, he kills a boy while sparring. He starts using cocaine to self-medicate. Following the reopening of the Garrison, Michael shows up on Polly’s doorstep."
2,3,,"The gang hire the Digbeth Kid, a neighbourhood boy who loves cowboy movies, to get stood up for gambling to help the local police meet their arrest quota. While in prison, Sabini's thugs murder the Digbeth Kid to get back at the Peaky Blinders for their intrusion on his turf. Polly and Michael try to get to know each other. Tommy and John meet with Billy Kitchen, of the Black Country Boys, who fought with them in the war. Tommy tells Kitchen to round up his men for them to go to work in Camden Town for Alfie. Arthur is threatened by the mother of the boy he killed. Tommy tells Campbell that the officers played a joke on him and have boarded him in a house that is owned by a not-so-former Madam. The Peaky Blinders and Michael go to an auction to purchase a horse and meet horse trainer May Carleton. On the way home, they are ambushed by Sabini's right-hand man, who tries to shoot Tommy, but is stopped when Arthur intervenes and beats him severely."
2,4,,"Tommy meets with his Irish handlers and discovers they are backed by Campbell and the Crown. They order another hit, but Tommy turns them down. Arthur and the gang attack one of Sabini's clubs. Michael requests that Tommy give him a job. Tommy hires May to train his horse. Tommy wants to export whisky to the United States and Canada – both of which are currently under prohibition. Arthur's cocaine habit is starting to spiral out of control and Tommy tells him to straighten up. Tommy visits Ada and tells her he has set up a trust fund for John's children and her son Karl. Alfie and Sabini meet and settle their differences. As Michael and his black friend Isaiah Jesus try to drink in a bar, they get into an argument with a racist patron. When Arthur and John learn that the Shelby name was disrespected, they burn the bar. Tommy calls Grace in London but hangs up without saying anything when a man answers."
